Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Milwaukee Bucks,,2015-16 Milwaukee Bucks,NBA,,82,,19830,3145,6740,.467,440,1277,.345,2705,5463,.495,.499,1392,1863,.747,858,2559,3417,1895,672,475,1247,1695,8122,
Miles Plumlee,27,MIL,NBA,C,61,14,870,140,233,.601,0,0,,140,233,.601,.601,34,59,.576,94,138,232,16,21,50,40,73,314,
Jerryd Bayless,27,MIL,NBA,SG,52,18,1505,185,437,.423,101,231,.437,84,206,.408,.539,70,90,.778,21,120,141,163,47,11,73,111,541,
John Henson,25,MIL,NBA,C,57,1,959,164,291,.564,0,1,.000,164,290,.566,.564,69,117,.590,87,134,221,54,18,109,64,131,397,
Giannis Antetokounmpo,21,MIL,NBA,PG,80,79,2823,513,1013,.506,28,109,.257,485,904,.537,.520,296,409,.724,113,499,612,345,94,113,208,258,1350,
Greivis Vasquez,29,MIL,NBA,PG,23,0,460,45,138,.326,18,73,.247,27,65,.415,.391,22,26,.846,5,42,47,91,10,0,40,42,130,
Michael Carter-Williams,24,MIL,NBA,PG,54,37,1649,251,555,.452,15,55,.273,236,500,.472,.466,106,162,.654,48,228,276,281,80,41,153,162,623,
O.J. Mayo,28,MIL,NBA,SG,41,24,1090,119,321,.371,52,162,.321,67,159,.421,.452,31,40,.775,13,92,105,118,48,8,72,126,321,
Jabari Parker,20,MIL,NBA,PF,76,72,2408,443,899,.493,9,35,.257,434,864,.502,.498,175,228,.768,123,272,395,130,69,29,116,154,1070,
Tyler Ennis,21,MIL,NBA,PG,46,7,654,84,187,.449,13,39,.333,71,148,.480,.484,25,34,.735,13,62,75,95,25,1,46,64,206,
Damien Inglis,20,MIL,NBA,SF,20,1,156,13,37,.351,3,13,.231,10,24,.417,.392,7,8,.875,2,29,31,10,6,3,11,11,36,
Johnny O'Bryant,22,MIL,NBA,PF,66,4,857,86,209,.411,1,1,1.000,85,208,.409,.414,27,40,.675,65,111,176,32,18,8,31,100,200,
Rashad Vaughn,19,MIL,NBA,SG,70,6,1001,81,266,.305,43,147,.293,38,119,.319,.385,12,15,.800,11,77,88,39,29,16,28,73,217,
Khris Middleton,24,MIL,NBA,SG,79,79,2852,507,1142,.444,143,361,.396,364,781,.466,.507,277,312,.888,44,258,302,331,131,19,180,204,1434,
Greg Monroe,25,MIL,NBA,C,79,67,2314,491,941,.522,0,1,.000,491,940,.522,.522,228,308,.740,218,478,696,178,72,67,129,163,1210,
Steve Novak,32,TOT,NBA,PF,10,0,44,8,18,.444,7,15,.467,1,3,.333,.639,1,1,1.000,0,5,5,0,0,0,1,3,24,
