Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Sacramento Kings,,2015-16 Sacramento Kings,NBA,,82,,19805,3283,7083,.464,660,1839,.359,2623,5244,.500,.510,1514,2089,.725,868,2760,3628,2009,733,368,1326,1676,8740,
DeMarcus Cousins,25,SAC,NBA,C,65,65,2246,601,1332,.451,70,210,.333,531,1122,.473,.477,476,663,.718,158,589,747,214,101,92,249,236,1748,
Ben McLemore,22,SAC,NBA,SG,68,53,1443,195,455,.429,67,185,.362,128,270,.474,.502,74,103,.718,34,114,148,79,52,10,99,140,531,
Rudy Gay,29,SAC,NBA,SF,70,70,2379,466,1007,.463,74,215,.344,392,792,.495,.500,198,254,.780,103,353,456,120,100,51,139,184,1204,
Darren Collison,28,SAC,NBA,PG,74,15,2219,377,776,.486,87,217,.401,290,559,.519,.542,194,226,.858,28,141,169,318,76,4,130,142,1035,
Willie Cauley-Stein,22,SAC,NBA,C,66,39,1412,191,339,.563,0,2,.000,191,337,.567,.563,81,125,.648,134,218,352,37,48,66,46,146,463,
Omri Casspi,27,SAC,NBA,SF,69,21,1880,299,622,.481,112,274,.409,187,348,.537,.571,103,159,.648,58,352,410,95,56,17,94,154,813,
Kosta Koufos,26,SAC,NBA,C,78,14,1482,236,444,.532,0,0,,236,444,.532,.532,57,104,.548,169,254,423,33,40,70,48,185,529,
Rajon Rondo,29,SAC,NBA,PG,72,72,2537,355,782,.454,62,170,.365,293,612,.479,.494,87,150,.580,77,358,435,839,141,10,278,175,859,
Caron Butler,35,SAC,NBA,SF,17,1,176,25,59,.424,3,18,.167,22,41,.537,.449,10,12,.833,5,17,22,10,9,1,3,19,63,
Quincy Acy,25,SAC,NBA,PF,59,29,876,119,214,.556,19,49,.388,100,165,.606,.600,50,68,.735,65,123,188,27,29,24,27,103,307,
Seth Curry,25,SAC,NBA,PG,44,9,692,102,224,.455,50,111,.450,52,113,.460,.567,45,54,.833,9,51,60,67,22,3,36,41,299,
Duje Dukan,24,SAC,NBA,SF,1,0,24,2,10,.200,2,5,.400,0,5,.000,.300,0,0,,2,2,4,1,1,0,0,2,6,
James Anderson,26,SAC,NBA,SG,51,15,721,67,178,.376,23,86,.267,44,92,.478,.441,22,29,.759,13,73,86,41,21,14,42,54,179,
Marco Belinelli,29,SAC,NBA,SG,68,7,1672,245,635,.386,91,297,.306,154,338,.456,.457,115,138,.833,10,107,117,127,37,2,80,91,696,
Eric Moreland,24,SAC,NBA,PF,8,0,48,3,6,.500,0,0,,3,6,.500,.500,2,4,.500,3,8,11,1,0,4,3,4,8,
